image path：/home/u23211510025/process/val_batch22/C202400517/Step3_sc_slide/C202400517
weight:/home/u23211510025/process/efficientnet/qc_iteration12/weight/0703_1409/Epoch21.pth
threshold:0.6
Image:	pred:	prob：
tile_16_16_4.png	good	[0.0006838763947598636, 0.983322262763977, 0.002066123764961958, 0.0008401728700846434, 0.001607780228368938, 0.007644300349056721, 0.0038355053402483463]
tile_32_54_4.png	good	[0.00023262026661541313, 0.9853963255882263, 0.0007478722254745662, 0.0015011699870228767, 0.0012349486351013184, 0.008533808402717113, 0.0023532386403530836]
tile_24_35_4.png	good	[0.0002833805338013917, 0.9911571741104126, 0.0003396670217625797, 0.0003253352188039571, 0.0005005108541809022, 0.0071615600027143955, 0.00023249327205121517]
tile_49_41_0.png	good	[0.00013000925537198782, 0.9915071725845337, 0.0012451320653781295, 6.275077612372115e-05, 0.0004109737346880138, 0.004709705710411072, 0.0019342921441420913]
tile_22_57_2.png	good	[0.0010736960684880614, 0.6689509153366089, 0.011258099228143692, 0.016915710642933846, 0.29908519983291626, 0.0021601885091513395, 0.0005562447477132082]
tile_14_38_2.png	good	[0.025781454518437386, 0.32656365633010864, 0.1065320149064064, 0.061657119542360306, 0.18970316648483276, 0.16056208312511444, 0.1292005479335785]
tile_51_25_5.png	good	[0.019790375605225563, 0.598139226436615, 0.08799254149198532, 0.10420729964971542, 0.16628563404083252, 0.014177016913890839, 0.009407945908606052]
tile_6_40_17.png	good	[0.0011879934463649988, 0.4250730872154236, 0.07511185854673386, 0.06533687561750412, 0.42137381434440613, 0.00531260808929801, 0.006603694055229425]
tile_42_51_6.png	good	[0.008173041976988316, 0.9247312545776367, 0.009322977624833584, 0.0017935674404725432, 0.009213184006512165, 0.005659559275954962, 0.04110649600625038]
tile_26_13_6.png	good	[0.00037871013046242297, 0.8488749861717224, 0.00021050528448540717, 0.0007945932447910309, 0.0013941455399617553, 0.14598257839679718, 0.0023645185865461826]
tile_34_32_6.png	good	[0.005029940977692604, 0.9264165163040161, 0.008653427474200726, 0.020132556557655334, 0.008860217407345772, 0.02797381393611431, 0.0029335946310311556]
tile_35_21_7.png	good	[0.011409365572035313, 0.5219791531562805, 0.11016495525836945, 0.0036382058169692755, 0.031017731875181198, 0.306233674287796, 0.01555685419589281]
tile_43_9_20.png	good	[0.004258797038346529, 0.960640549659729, 0.02549474500119686, 0.0005779320490546525, 0.005477028898894787, 0.0013067905092611909, 0.002244221279397607]
tile_52_14_6.png	good	[0.005596429109573364, 0.8285370469093323, 0.05896672606468201, 0.04391899332404137, 0.02514815330505371, 0.02740028314292431, 0.010432368144392967]
tile_23_46_3.png	good	[1.701499968476128e-05, 0.9999709129333496, 3.6725100471812766e-07, 9.492742236716367e-08, 6.863990165584255e-06, 3.277496034570504e-06, 1.4910252730260254e-06]
tile_25_24_5.png	good	[6.432644295273349e-05, 0.9955894947052002, 0.00012803825666196644, 0.00023408772540278733, 0.00271082972176373, 0.0010606897994875908, 0.00021264531824272126]
tile_42_17_4.png	good	[0.016084199771285057, 0.3497951030731201, 0.2774842083454132, 0.0021422039717435837, 0.004200372379273176, 0.3326302170753479, 0.017663700506091118]
tile_30_59_1.png	mult	[0.0007269318448379636, 0.4148004949092865, 0.5810366272926331, 0.0023024072870612144, 0.00018020652350969613, 0.0008005120325833559, 0.00015289818111341447]
tile_18_7_11.png	good	[0.0024088360369205475, 0.8160209655761719, 0.02076777070760727, 0.002754337154328823, 0.13350456953048706, 0.005722873378545046, 0.018820669502019882]
tile_25_41_6.png	good	[0.09785368293523788, 0.6406181454658508, 0.015260768122971058, 0.010103064589202404, 0.02041359432041645, 0.10725048184394836, 0.10850022733211517]
tile_34_15_5.png	good	[6.0842125094495714e-05, 0.999515175819397, 0.0001271046930924058, 1.1028411790903192e-05, 2.3208091079141013e-05, 0.00025815729168243706, 4.445668764674338e-06]
tile_50_53_5.png	good	[0.001052660052664578, 0.9906501173973083, 0.0015269326977431774, 0.00016808653890620917, 0.0035800065379589796, 0.00032733799889683723, 0.002694905735552311]
tile_48_57_19.png	good	[0.0049953763373196125, 0.8830389976501465, 0.043104227632284164, 0.0034183196257799864, 0.00484207458794117, 0.05686134845018387, 0.0037396729458123446]
tile_52_31_7.png	good	[0.0013504907255992293, 0.8674102425575256, 0.08423170447349548, 0.007925073616206646, 0.011775736697018147, 0.016903789713978767, 0.01040306780487299]
tile_24_18_3.png	good	[0.0002997559786308557, 0.996527373790741, 0.0009117535664699972, 0.000299995910609141, 6.352194759529084e-05, 0.0018006082391366363, 9.707032586447895e-05]
tile_41_45_4.png	good	[0.0067657227627933025, 0.7151434421539307, 0.12882842123508453, 0.006932742893695831, 0.016446707770228386, 0.10138817876577377, 0.02449478767812252]
tile_50_19_3.png	good	[0.01599280722439289, 0.944725513458252, 0.008203104138374329, 0.0034390673972666264, 0.007048807572573423, 0.007228506729006767, 0.013362177647650242]
